episode,epsilon,fill,loss,pallets_closed,placement_rate,reward,wall_time_s
0,1.0,0.0,0.0,0,0.9,6.101302083333334,20.00755023956299
1,0.7625,0.0,0.0,0,0.85,3.719884259259259,32.36254835128784
2,0.525,0.0,0.0,0,0.85,4.600746527777778,40.71261644363403
3,0.2875000000000001,0.26916087962962965,0.0,1,0.95,8.964224537037039,52.32574439048767
4,0.05,0.2969409722222222,0.0,1,0.95,10.718587962962964,58.688655853271484
